1. connect
No.	Time	Source	Destination	Protocol	Length	Info
1889	131.212485	192.168.10.106	192.168.10.104	LLRP	86	LLRP Message (Reader Event Notification)
1890	131.226099	192.168.10.104	192.168.10.106	LLRP	65	LLRP Message (Get Reader Capabilities)
1893	131.235574	192.168.10.106	192.168.10.104	LLRP	373	LLRP Message (Get Reader Capabilities Response)
1895	131.254818	192.168.10.104	192.168.10.106	LLRP	65	LLRP Message (Set Reader Config)
1896	131.257603	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Set Reader Config Response)
1897	131.259107	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Delete ROSpec)
1898	131.261054	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Delete ROSpec Response)
1899	131.262379	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Delete AccessSpec)
1900	131.264279	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Delete AccessSpec Response)
1901	131.268972	192.168.10.104	192.168.10.106	LLRP	166	LLRP Message (Set Reader Config)
1902	131.271949	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Set Reader Config Response)
1903	131.272521	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
1905	131.274199	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)
1907	131.319975	192.168.10.104	192.168.10.106	LLRP	498	LLRP Message (Add ROSpec)
1909	131.323436	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Add ROSpec Response)
1910	131.325081	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Enable ROSpec)
1911	131.327603	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Enable ROSpec Response)
1912	131.328998	192.168.10.104	192.168.10.106	LLRP	69	LLRP Message (Custom Message)
1913	131.331288	192.168.10.106	192.168.10.104	LLRP	77	LLRP Message (Custom Message)
1914	131.332627	192.168.10.104	192.168.10.106	LLRP	69	LLRP Message (Custom Message)
1915	131.334779	192.168.10.106	192.168.10.104	LLRP	77	LLRP Message (Custom Message)
2045	141.272806	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
2046	141.274421	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)
2202	151.273113	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
2203	151.274752	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)
2322	161.273567	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
2323	161.274583	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)


2. Start - Stop
No.	Time	Source	Destination	Protocol	Length	Info
2448	171.273400	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
2449	171.274947	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)
2554	181.273957	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
2555	181.275276	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)
2628	191.273879	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
2629	191.275529	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)
2735	201.274038	192.168.10.106	192.168.10.104	LLRP	64	LLRP Message (Keepalive)
2736	201.275378	192.168.10.104	192.168.10.106	LLRP	64	LLRP Message (Keepalive Ack)
2926	209.700185	192.168.10.104	192.168.10.106	LLRP	65	LLRP Message (Set Reader Config)
2928	209.714260	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Set Reader Config Response)
2929	209.715676	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Delete ROSpec)
2930	209.719357	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Delete ROSpec Response)
2931	209.720128	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Delete AccessSpec)
2932	209.722527	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Delete AccessSpec Response)
2933	209.723120	192.168.10.104	192.168.10.106	LLRP	166	LLRP Message (Set Reader Config)
2934	209.725444	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Set Reader Config Response)
2935	209.726319	192.168.10.104	192.168.10.106	LLRP	162	LLRP Message (Add ROSpec)
2938	209.729472	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Add ROSpec Response)
2939	209.730087	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Enable ROSpec)
2940	209.732481	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Enable ROSpec Response)
2941	209.733149	192.168.10.104	192.168.10.106	LLRP	69	LLRP Message (Custom Message)
2942	209.735064	192.168.10.106	192.168.10.104	LLRP	77	LLRP Message (Custom Message)
2943	209.735714	192.168.10.104	192.168.10.106	LLRP	69	LLRP Message (Custom Message)
2946	209.738817	192.168.10.106	192.168.10.104	LLRP	77	LLRP Message (Custom Message)
2947	209.739516	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Enable ROSpec)
2948	209.742344	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Enable ROSpec Response)
2949	209.743428	192.168.10.104	192.168.10.106	LLRP	68	LLRP Message (Start ROSpec)
2950	209.745677	192.168.10.106	192.168.10.104	LLRP	72	LLRP Message (Start ROSpec Response)
2951	209.746363	192.168.10.106	192.168.10.104	LLRP	93	LLRP Message (Reader Event Notification)
2960	209.837327	192.168.10.106	192.168.10.104	LLRP	91	LLRP Message (Reader Event Notification)
2961	209.870329	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2963	209.880944	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2964	209.891202	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2966	209.921441	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2967	209.930846	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2969	209.941337	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2970	209.951942	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2972	209.961530	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2973	209.961530	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2975	209.972580	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2976	209.982043	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2978	209.992400	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2979	210.013193	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2980	210.013193	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2982	210.033086	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2984	210.043583	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2985	210.053259	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2988	210.073516	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2989	210.094605	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2991	210.103940	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2992	210.124440	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2994	210.124941	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2995	210.134233	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2997	210.144650	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
2998	210.155218	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3000	210.164648	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3001	210.164648	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3003	210.174857	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3004	210.175299	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3006	210.185867	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3007	210.206252	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3009	210.215573	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3010	210.225963	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3012	210.236191	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3013	210.236191	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3015	210.246942	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3016	210.256076	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3019	210.297269	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3020	210.307913	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3022	210.308383	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3023	210.317922	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3025	210.338229	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3026	210.358627	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3028	210.367939	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3029	210.378994	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3031	210.379612	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3032	210.398450	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3034	210.409362	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3035	210.409858	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3037	210.418984	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3038	210.419571	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3040	210.429138	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3041	210.439535	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3043	210.450173	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3044	210.460713	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3046	210.479738	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3048	210.499904	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3050	210.510283	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3051	210.510283	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3053	210.520986	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3054	210.530610	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3056	210.531219	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3057	210.540529	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3062	210.550919	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3063	210.550919	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3065	210.571191	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3066	210.581693	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3068	210.591998	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3069	210.602247	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3071	210.612530	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3072	210.622653	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3074	210.632990	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3075	210.642221	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3077	210.652658	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3078	210.663227	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3080	210.663661	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3081	210.672905	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3083	210.693653	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3084	210.723751	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3085	210.723751	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3087	210.744637	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3089	210.745215	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3090	210.754522	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3091	210.754522	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3093	210.764418	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3095	210.784806	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3096	210.795392	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3098	210.796013	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3099	210.815100	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3101	210.836547	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3102	210.836547	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3104	210.856154	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3105	210.856154	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3107	210.866074	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3108	210.886790	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3110	210.886892	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
3111	210.897350	192.168.10.106	192.168.10.104	LLRP	112	LLRP Message (RO Access Report)
